127.0.0.1 - - [15/Apr/2026 01:19:37] "GET /api/movie?id=1076625875212323512 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:29] "GET /styles.css?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:29] "GET /script.js?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:29] "GET /api/home HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:42] "GET /movie.html?id=4830273202448466064 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:42] "GET /styles.css?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:42] "GET /script.js?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:43] "GET /api/home HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:46] "GET /api/movie?id=4830273202448466064 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:53] "GET /movie.html?id=4830273202448466064 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:53] "GET /styles.css?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:53] "GET /script.js?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:53] "GET /api/home HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:23:53] "GET /api/movie?id=4830273202448466064 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:24:10] "GET /movie.html?id=4830273202448466064 HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:24:10] "GET /styles.css?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:24:10] "GET /script.js?v=20260414c HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:24:10] "GET /api/home HTTP/1.1" 200 -
127.0.0.1 - - [15/Apr/2026 01:24:10] "GET /api/movie?id=4830273202448466064 HTTP/1.1" 200 -
